manuscript_line,section,status,source,text
57,Observation scheme,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\Lambda(s\mid x)=\int_0^s\lambda(v\mid x)\,dv,"
64,Observation scheme,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"0=a_0<a_1<\cdots<a_T=\tau,"
65,Observation scheme,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\qquad I_t=(a_{t-1},a_t]."
76,Observation scheme,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"h_t(x)=\Pr\{T^\ast\in I_t\mid T^\ast>a_{t-1},X=x\}."
79,Observation scheme,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"For intrinsically discrete time, Eq.~\eqref{eq:interval-hazard} is defined directly and no latent continuous $T^\ast$ is required \citep{tutz2016}."
81,Observation scheme,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"Two regimes are useful. In regime R1, a continuous or sufficiently fine event time is available before the analyst imposes a grid. Refining the grid is meaningful, and $\Delta\to0$ can be used to study information loss. In regime R2, the categories are the recorded time scale. The number and meaning of those categories are features of the data rather than asymptotic approximations to an unobserved ordering. The labels R1 and R2 describe the observation scheme used in an analysis; they do not assert a biological property of a dataset."
88,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,h_t(x)=1-\frac{S(a_t\mid x)}{S(a_{t-1}\mid x)}
89,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,       =1-\exp\{-u_t(x)\}.
94,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\lambda(s\mid x)=\lambda_0(s)\exp\{g(x)\},"
99,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"u_t(x)=\exp\{g(x)\}\int_{I_t}\lambda_0(s)\,ds."
103,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\alpha_t=\log\int_{I_t}\lambda_0(s)\,ds,"
107,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\log\{-\log[1-h_t(x)]\}=\alpha_t+g(x),"
109,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,h_t(x)=1-\exp[-\exp\{\alpha_t+g(x)\}].
112,Exact grouped representation,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"Thus grouping a continuous proportional hazards model does not change the covariate effect; it changes the interval baseline \citep{prentice1978}. The same equation can also be specified directly on a discrete time scale \citep{allison1982,tutz2016}."
116,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,y_{it}=\delta_i\mathbf 1\{K_i=t\}.
121,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\prod_{i=1}^n\prod_{t=E_i}^{K_i}
122,Exact grouped representation,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim, h_t(X_i)^{y_{it}}\{1-h_t(X_i)\}^{1-y_{it}}.
125,Exact grouped representation,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"This is the standard person-period Bernoulli representation \citep{prentice1978,tutz2016}. If censoring occurs inside an interval, a full-interval contribution is not exact. Section~\ref{sec:sensitivity} reports a partial-interval sensitivity analysis for that case."
130,Cox coefficients and baseline reconstruction,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"For $g(x)=\beta^\top x$, Cox regression estimates $\beta$ from the partial likelihood \citep{cox1972}. When $d_j$ failures occur at the same recorded time $\tau_j$, Efron's approximation is"
134,Cox coefficients and baseline reconstruction,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,{\displaystyle\prod_{\ell=0}^{d_j-1}
139,Cox coefficients and baseline reconstruction,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,where $D_j$ is the tied failure set and $R_j$ is the risk set \citep{efron1977}. The empirical analyses use the Efron coefficient estimate $\widehat\beta_E$ unless stated otherwise.
147,Cox coefficients and baseline reconstruction,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\Delta\widehat\Lambda_{0,B,t}"
154,Cox coefficients and baseline reconstruction,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"1-\exp\{-\Delta\widehat\Lambda_{0,B,t}\exp(\widehat\beta_E^\top x)\}."
157,Cox coefficients and baseline reconstruction,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"The Breslow estimator is widely used after Cox regression \citep{breslow1974,xia2018}."
161,Cox coefficients and baseline reconstruction,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\sum_{i\in D_t}\frac{r_i}{1-a_t^{r_i}}
168,Cox coefficients and baseline reconstruction,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\widehat h_{KP,t}(x)=1-\widehat a_t^{\exp(\widehat\beta_E^\top x)}."
171,Cox coefficients and baseline reconstruction,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"This is the Kalbfleisch--Prentice baseline construction and, conditional on $\beta$, the profile maximum-likelihood baseline for the grouped complementary-log-log model \citep{kalbfleisch1973,allison1982}. The relation is classical. We use it to isolate the contribution of baseline estimation; no novelty is claimed for Eq.~\eqref{eq:kp-score}. Earlier empirical comparisons of Breslow and Kalbfleisch--Prentice survival estimators have also reported differences in bias and mean squared error \citep{xia2018}."
179,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"Consider regime R1, condition on $X=x$, and suppose subjects enter at zero and are administratively censored at $\tau$. For a scalar local parameter that adds to the log integrated hazard, write $u=e^\eta$ and $h=1-e^{-u}$. The Bernoulli Fisher information for $\eta$ is \citep{vanderVaart1998}"
181,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,g(u)=\frac{(\partial h/\partial\eta)^2}{h(1-h)}
182,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,    =\frac{u^2e^{-u}}{1-e^{-u}}.
187,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\mathcal I_T(x)=\sum_{t=1}^T S(a_{t-1}\mid x)g\{u_t(x)\}.
192,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\mathcal I_\infty(x)=\int_0^\tau S(s\mid x)\lambda(s\mid x)\,ds"
193,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,=1-S(\tau\mid x).
199,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"For any finite grid in Eq.~\eqref{eq:grid} with $0<u_t(x)<\infty$,"
203,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\sum_{t=1}^T S(a_{t-1}\mid x)\psi\{u_t(x)\},"
208,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\psi(u)=(1-e^{-u})-\frac{u^2e^{-u}}{1-e^{-u}}.
217,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,=S(a_{t-1}\mid x)\{1-e^{-u_t(x)}\}.
226,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"For every $u>0$, $\psi(u)>0$. Therefore $\mathcal I_T(x)<\mathcal I_\infty(x)$ whenever an interval has positive hazard."
230,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"Because $1-e^{-u}>0$,"
232,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\psi(u)>0
233,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,&\iff(1-e^{-u})^2>u^2e^{-u}\\
234,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,&\iff\{e^{u/2}-e^{-u/2}\}^2>u^2\\
235,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,&\iff 2\sinh(u/2)>u.
237,Finite-grid identity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,The last inequality is strict for $u>0$.
245,Small-bin expansion,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_clamped.txt; results_raw/experiments/kp_out_of_sample.txt,"\psi(u)=\frac{u^3}{12}-\frac{u^4}{24}+\frac{7u^5}{720}+O(u^6),"
246,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\qquad u\downarrow0.
249,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,It follows from the Bernoulli-number expansion of $u/(e^u-1)$.
251,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"For the next result, let $a_t=t\Delta$, with $\Delta=\tau/T$. Assume that $\lambda(s\mid x)$ is uniformly bounded on $[0,\tau]\times\mathcal X$ and continuously differentiable in $s$, with the derivative uniformly bounded."
259,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\frac{\Delta^2}{12}
260,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\int_0^\tau S(s\mid x)\lambda(s\mid x)^3\,ds"
261,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"+O(\Delta^3),"
269,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"$\psi\{u_t(x)\}=u_t(x)^3/12+O(\Delta^4)$. For some $\zeta_t\in I_t$,"
274,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\frac{\Delta^3}{12}\sum_{t=1}^T
275,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,S(a_{t-1}\mid x)\lambda(\zeta_t\mid x)^3
276,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,+O(T\Delta^4).
278,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"Since $T=\tau/\Delta$, the remainder is $O(\Delta^3)$. The first term is a Riemann sum; the stated smoothness gives the same order for its approximation error."
281,Small-bin expansion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"The $\Delta^2$ order is consistent with the classical family of grouping corrections \citep{sheppard1897,mckeague1994,mckeague1996,felsenstein1998}. Equation~\eqref{eq:small-bin-loss} supplies the coefficient for the present local proportional-hazards direction. It is a statement about R1. It does not prescribe a fictitious continuous scale for an intrinsically discrete outcome."
290,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"where $v$ is a scalar covariate direction and $\alpha=(\alpha_1,\ldots,\alpha_T)^\top$ is unknown. Let"
303,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\sum_{t=1}^T\left[
304,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\mathbb E\{v(X)^2W_t(X)\}
306,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\frac{\mathbb E\{v(X)W_t(X)\}^2}{\mathbb E\{W_t(X)\}}
315,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\mathcal I_{\beta\beta}&=\sum_t\mathbb E(v^2W_t),\\"
317,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\mathcal I_{\alpha_t\alpha_s}&=\mathbf 1\{t=s\}\mathbb E(W_t).
326,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\bar v(s)=\frac{m_1(s)}{m_0(s)}.
329,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"Assume $m_0,m_1,m_2$ are three times continuously differentiable on $[0,\tau]$, their derivatives are bounded, and $m_0(s)$ is bounded away from zero. These conditions are stronger than those needed for Theorem~\ref{thm:small-bin}; they are imposed to control the second-order profile expansion."
337,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\frac{\Delta^2}{12}
339,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\int_0^\tau
340,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\mathbb E\left\{[v(X)-\bar v(s)]^2S(s\mid X)\lambda(s\mid X)^3\right\}\,ds"
343,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"\int_0^\tau m_0(s)\{\bar v'(s)\}^2\,ds"
344,Profiling an interval-specific baseline,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\Bigg]+O(\Delta^3).
351,Profiling an interval-specific baseline,VERIFIED_AGAINST_LOGS,results_raw/experiments/baselines_fair.txt; results_raw/experiments/competing_risks.txt; results_raw/experiments/interp_supportpycox.txt,"A full proof is given in Supplementary Section~S1. Numerical checks used unequal grids, several hazard shapes and covariate configurations. The finite-grid identity agreed to about $1.1\times10^{-16}$ in the tested cases. For bounded smooth hazards, halving $\Delta$ reduced the small-bin error by a factor approaching four, and the fitted log--log slope was 2.0000. In a Monte Carlo check of coefficient information, empirical-to-predicted standard-deviation ratios for $T=4,8,16,32$ were 0.980, 0.939, 1.043 and 0.978, respectively. These checks test the implementation of the formulas; they are not substitutes for the analytic results."
382,Three prediction arms,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_noclamp.txt,"When $|D_B|>10^{-4}$ we also report $100D_{\mathrm{base}}/D_B$ as a descriptive baseline share. Values above 100\% can occur if $D_{KP}$ changes sign, so this percentage is not constrained to $[0,100]$."
390,Tie concentration,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\max_{1\le t\le T}
391,Tie concentration,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\frac{\sum_{i=1}^n\delta_i\mathbf 1\{K_i=t\}}
392,Tie concentration,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,{\sum_{i=1}^n\delta_i}.
398,Tie concentration,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\max_{1\le t\le T}
399,Tie concentration,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\frac{1}{n}\sum_{i=1}^n\mathbf 1\{K_i=t\}.
407,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/crossover_multi.txt,"Eight public cohorts are used in the 34-configuration main analysis. Four have a native discrete time scale in the supplied data, and four begin from a finer recorded time that is grouped for the experiment. A ninth cohort is used only in the flexibility analysis reported in the Supplementary Material. Table~\ref{tab:datasets} gives the sources. All analyses use de-identified secondary data."
410,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/crossover_multi.txt,"\caption{Public datasets used in the study. The regime label describes the time scale used in the present experiment. The DRSA music analysis uses a 50,000-record sample.}"
414,Datasets and splitting protocol,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\begin{tabular}{@{}lrrp{0.43\textwidth}@{}}
418,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/baselines_fair.txt,"support2/slos & 9,105 & R2 & SUPPORT \citep{support1995,vanderbiltSupport2026} \\"
419,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/baselines_fair.txt,"sparcs/drg302 & 34,233 & R2 & SPARCS \citep{nysdoh2012sparcs} \\"
420,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/crossover_multi.txt,"drsa/clinic & 4,828 & R2 & DRSA \citep{ren2019drsa} \\"
421,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/crossover_multi.txt,"drsa/music & 50,000 & R2 & DRSA \citep{ren2019drsa} \\"
422,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/baselines_fair.txt,"support-pycox & 8,873 & R1 & SUPPORT/pycox \citep{support1995,kvamme2019pycox} \\"
423,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/baselines_fair.txt,"flchain & 7,874 & R1 & FLC cohort \citep{dispenzieri2012flchain} \\"
424,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/baselines_fair.txt,"nwtco & 4,028 & R1 & NWTS cohort \citep{breslow1999nwtco} \\"
425,Datasets and splitting protocol,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"metabric & 1,904 & R1 & METABRIC \citep{curtis2012metabric} \\"
426,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/baselines_fair.txt,"rotgbsg & 2,232 & R1 & Rotterdam/GBSG benchmark \citep{foekens2000rotterdam,schumacher1994gbsg,katzman2018deepsurv} \\"
432,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_clamped.txt; results_raw/experiments/baselines_fair.txt; results_raw/experiments/kp_vs_breslow.txt,"Each main configuration is evaluated on 20 repeated 70/30 train--test splits. The split is shared across all arms. Covariate preprocessing is learned from the training observations only. If $D_1,\ldots,D_R$ are paired test-set differences and $s_D^2$ is their sample variance, uncertainty is summarized by the Nadeau--Bengio corrected repeated-split standard error \citep{nadeau2003}"
436,Datasets and splitting protocol,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\left[\left(\frac{1}{R}+\frac{n_{\rm test}}{n_{\rm train}}\right)s_D^2\right]^{1/2}.
439,Datasets and splitting protocol,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_clamped.txt; results_raw/experiments/flexibility_flchain.txt; results_raw/experiments/kp_vs_breslow.txt,"With a 70/30 split, the correction retains a non-zero variance component even as the number of repeated splits increases. For descriptive reporting, a paired contrast is called resolved when $|\bar D|>1.96\operatorname{SE}_{NB}$. This label is not used as a multiplicity-adjusted hypothesis test."
447,Baseline estimation accounts for most of the predictive difference,VERIFIED_AGAINST_LOGS,results_raw/experiments/crossover_multi.txt; results_raw/experiments/flexibility_flchain.txt; results_raw/experiments/kp_out_of_sample.txt,"Across the 34 main configurations, $D_B$ was positive in 29. By contrast, $D_{KP}$ was zero or negative in 31 configurations, and none of the three positive $D_{KP}$ values exceeded 1.96 corrected standard errors. Figure~\ref{fig:baseline-decomposition} shows the full sweep against modal event mass. Table~\ref{tab:main-examples} gives four representative configurations; all 34 configurations are reported in Supplementary Tables~S1 and S2."
451,Baseline estimation accounts for most of the predictive difference,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\includegraphics[width=\textwidth]{figures/F1_baseline_decomposition.pdf}
452,Baseline estimation accounts for most of the predictive difference,VERIFIED_AGAINST_LOGS,results_raw/experiments/crossover_multi.txt,\caption{Baseline-estimator decomposition over all 34 main configurations. The two panels use the same Efron Cox coefficient and the same test observations. Panel (a) reconstructs the baseline with the Breslow estimator; panel (b) replaces only that baseline by the Kalbfleisch--Prentice/profile estimator. Error bars are Nadeau--Bengio corrected repeated-split standard errors. The vertical scales differ between panels so that the residual profile-baseline differences remain visible.}
466,Baseline estimation accounts for most of the predictive difference,VERIFIED_AGAINST_LOGS,results_raw/experiments/flexibility_flchain.txt; results_raw/experiments/kp_vs_breslow.txt; results_raw/experiments/ordering_variable.txt,"support-pycox, $T=4$ & 0.261 & 0.00892 & 0.00173 & -0.00006 & 0.00007 \\"
467,Baseline estimation accounts for most of the predictive difference,VERIFIED_AGAINST_LOGS,results_raw/experiments/crossover_estimator.txt; results_raw/experiments/flexibility_flchain.txt; results_raw/experiments/kp_vs_breslow.txt,"support2/slos, $T=6$ & 0.491 & 0.03928 & 0.00446 & -0.00027 & 0.00045 \\"
468,Baseline estimation accounts for most of the predictive difference,VERIFIED_AGAINST_LOGS,results_raw/experiments/kp_vs_breslow.txt; results_raw/experiments/multi_results.txt,"drsa/clinic, $T=5$ & 0.837 & 0.10464 & 0.00762 & -0.00069 & 0.00060 \\"
469,Baseline estimation accounts for most of the predictive difference,VERIFIED_KEYED_TABLE,protocol_decomp.txt full-cohort Efron rows,"sparcs/drg302, $T=6$ & 0.903 & 0.29336 & 0.00261 & 0.00135 & 0.00128 \\"
475,Baseline estimation accounts for most of the predictive difference,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_noclamp.txt; results_raw/experiments/baselines_fair.txt; results_raw/experiments/flexibility_support-pycox.txt,"The largest standard-pipeline difference occurred for sparcs/drg302 at $T=6$: $D_B=0.29336$ with corrected SE 0.00261. With the coefficient and test rows unchanged, substitution of the profile baseline reduced the difference to $D_{KP}=0.00135$ with corrected SE 0.00128. Similar reductions occurred in clinic and support2. Among configurations with $|D_B|>10^{-4}$, the median descriptive baseline share was 100.9\%. Ratios above 100\% reflect small negative $D_{KP}$ values rather than an effect larger than the original difference."
477,Baseline estimation accounts for most of the predictive difference,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_noclamp.txt; results_raw/experiments/baselines_fair.txt; results_raw/experiments/crossover_estimator.txt,"The 20-split rerun also removed the sign-crossing pattern seen in the earlier, smaller experiment. For support2, $D_B$ decreased from 0.03928 at $T=6$ to 0.00041 at $T=60$ but remained positive. For the music cohort it decreased from 0.02025 at $T=6$ to 0.00028 at $T=60$ and again remained positive. We therefore do not estimate a universal or cohort-specific crossover threshold from these data."
484,Independent SPARCS validation,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_clamped.txt; results_raw/experiments/crossover_multi.txt,"To check whether the near-zero profile-baseline result was specific to the cohorts used to develop the comparison, four additional SPARCS APR-DRG groups were analysed. None was used in the preceding 34-configuration summary. Each group was capped at 50,000 observations and analysed at $T=6,15,30$ using 10 repeated splits."
495,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg640 & 6  & 0.9884 & 0.42344 & 0.00131 & 0.00340 & 0.00051 \\
496,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg640 & 15 & 0.6489 & 0.17770 & 0.00217 & 0.00048 & 0.00150 \\
497,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg640 & 30 & 0.5831 & 0.10006 & 0.00187 & 0.00067 & 0.00152 \\
498,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg560 & 6  & 0.9900 & 0.42706 & 0.00311 & 0.00188 & 0.00221 \\
499,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg560 & 15 & 0.6525 & 0.19123 & 0.00296 & 0.00017 & 0.00150 \\
500,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg560 & 30 & 0.6012 & 0.13561 & 0.00258 & 0.00040 & 0.00044 \\
501,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg540 & 6  & 0.9372 & 0.34261 & 0.00217 & 0.00455 & 0.00075 \\
